DATE,PIORECRUSDM_PCH
2012-01-01,2.85268
2012-02-01,0.03393
2012-03-01,3.04027
2012-04-01,2.06253
2012-05-01,-7.70392
2012-06-01,-1.21204
2012-07-01,-4.96556
2012-08-01,-15.74291
2012-09-01,-7.72338
2012-10-01,14.55497
2012-11-01,5.61452
2012-12-01,7.08646
2013-01-01,16.77396
2013-02-01,2.75630
2013-03-01,-9.55057
2013-04-01,-1.77243
2013-05-01,-9.73964
2013-06-01,-7.41437
2013-07-01,10.77934
2013-08-01,7.75501
2013-09-01,-2.09353
2013-10-01,-1.20206
2013-11-01,2.82945
2013-12-01,-0.39123
2014-01-01,-5.64946
2014-02-01,-5.26779
2014-03-01,-7.85752
2014-04-01,2.45689
2014-05-01,-12.23672
2014-06-01,-7.66470
2014-07-01,3.67087
2014-08-01,-2.20028
2014-09-01,-10.21865
2014-10-01,-3.80771
2014-11-01,-8.46123
2014-12-01,-7.72736
2015-01-01,0.57412
2015-02-01,-7.62751
2015-03-01,-8.80593
2015-04-01,-10.42969
2015-05-01,15.95539
2015-06-01,2.33720
2015-07-01,-15.63204
2015-08-01,9.88889
2015-09-01,-0.62104
2015-10-01,-5.82369
2015-11-01,-12.05502
2015-12-01,-13.36682
2016-01-01,3.23402
2016-02-01,10.14329
2016-03-01,21.62689
2016-04-01,7.83092
2016-05-01,-8.33292
2016-06-01,-6.34404
2016-07-01,9.49279
2016-08-01,6.21195
2016-09-01,-5.27435
2016-10-01,2.24299
2016-11-01,25.75635
2016-12-01,7.14286
2017-01-01,1.74535
2017-02-01,10.06187
2017-03-01,-1.97229
2017-04-01,-19.26203
2017-05-01,-12.45677
2017-06-01,-6.11191
2017-07-01,15.33685
2017-08-01,11.76069
2017-09-01,-7.17131
2017-10-01,-11.83256
2017-11-01,3.87193
2017-12-01,13.13535
2018-01-01,5.63789
2018-02-01,2.46414
2018-03-01,-8.15431
2018-04-01,-6.98959
2018-05-01,0.44789
2018-06-01,0.34025
2018-07-01,0.28166
2018-08-01,1.45615
2018-09-01,1.14414
2018-10-01,4.68276
2018-11-01,0.38005
2018-12-01,-4.69005
2019-01-01,9.13614
2019-02-01,16.47606
2019-03-01,-0.59204
2019-04-01,8.53158
2019-05-01,7.68346
2019-06-01,7.65435
2019-07-01,9.16199
2019-08-01,-21.81422
2019-09-01,-1.32417
2019-10-01,-3.98317
2019-11-01,-6.41426
2019-12-01,9.73709
2020-01-01,4.66063
2020-02-01,-7.97374
2020-03-01,1.18013
2020-04-01,-5.53704
2020-05-01,9.05473
2020-06-01,13.14698
2020-07-01,4.52950
2020-08-01,11.15487
2020-09-01,2.43902
2020-10-01,-3.04878
2020-11-01,3.58391
2020-12-01,23.91556
2021-01-01,8.93271
2021-02-01,-2.64672
2021-03-01,2.71932
2021-04-01,6.90352
2021-05-01,13.80485
2021-06-01,6.38807
2021-07-01,-0.68340
2021-08-01,-24.37705
2021-09-01,-29.84261
2021-10-01,0.66606
2021-11-01,-21.26609
2021-12-01,22.55030
2022-01-01,20.45052
2022-02-01,5.00171
2022-03-01,5.47446
2022-04-01,-0.46228
2022-05-01,-10.61983
2022-06-01,-0.03467
2022-07-01,-16.78642
2022-08-01,0.01614
2022-09-01,-7.54073
2022-10-01,-6.16998
2022-11-01,-0.05376
2022-12-01,17.80822
2023-01-01,9.89392
2023-02-01,3.79246
2023-03-01,0.71081
2023-04-01,-8.48055
2023-05-01,-10.76052
2023-06-01,8.19846
2023-07-01,0.78281
2023-08-01,-3.83194
2023-09-01,9.87137
2023-10-01,-1.39383
2023-11-01,10.52632
2023-12-01,4.79819
2024-01-01,-0.69842
